stock,isin,sector,timeframe,mode,status,exit_reason,regime,fib_class,zoi_position,signal_date,signal_close,planned_entry,stop_loss,target,entry_date,entry_fill,exit_date,exit_fill,shares,capital_deployed,hold_trading_bars,hold_calendar_days,R_multiple,mfe_R,pnl_rupees
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BEAR,IN_POCKET_RISING,,2022-03-10,602.35,602.35,578.9,649.25,2022-03-11,602.65,2022-03-16,648.93,165,99437,4,5,1.95,4.38,7635
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,NEUTRAL,IN_POCKET_RISING,,2022-04-21,664.7,664.7,631.47,731.15,2022-04-22,657.03,2022-04-29,631.13,152,99868,6,7,-1.01,1.21,-3936
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BEAR,IN_POCKET_RISING,,2022-05-31,557.4,557.4,536.55,599.1,2022-06-01,557.18,2022-06-08,598.8,179,99735,6,7,2.02,2.51,7450
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,BULL,IN_POCKET_RISING,,2022-08-11,562.05,562.05,533.95,618.25,2022-08-12,562.33,2022-08-17,533.68,177,99533,3,5,-1.01,0.48,-5071
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,NEUTRAL,IN_POCKET_RISING,,2022-10-14,459.9,459.9,436.91,505.9,2022-10-17,459.63,2022-11-21,436.68,217,99740,24,35,-1.01,1.65,-4980
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BULL,IN_POCKET_RISING,,2023-06-20,515.8,515.8,490.01,567.4,2023-06-21,516.06,2023-07-21,567.12,193,99599,22,30,1.96,3.42,9854
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,BULL,IN_POCKET_RISING,,2023-09-12,583.65,583.65,554.47,642,2023-09-13,583.94,2023-10-09,554.17,171,99854,17,26,-1.01,1.16,-5091
SONACOMS,INE073K01018,auto,1d,FIB,NO_FILL,,,,,2023-12-04,,,,,,,,,,,,,,,
SONACOMS,INE073K01018,auto,1d,FIB,LOSS,SL,BULL,IN_POCKET_RISING,,2023-12-18,562.7,562.7,541.36,605.4,2023-12-19,562.98,2023-12-20,541.08,177,99648,2,1,-1.01,0.22,-3877
SONACOMS,INE073K01018,auto,1d,FIB,WIN,TARGET,BULL,IN_POCKET_RISING,,2024-01-23,579.95,579.95,550.95,637.95,2024-01-24,580.24,2024-02-02,637.63,172,99801,7,9,1.96,4.73,9871
