stock,isin,sector,timeframe,mode,status,exit_reason,regime,fib_class,zoi_position,signal_date,signal_close,planned_entry,stop_loss,target,entry_date,entry_fill,exit_date,exit_fill,shares,capital_deployed,hold_trading_bars,hold_calendar_days,R_multiple,mfe_R,pnl_rupees
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TARGET,BULL,,INSIDE_DEMAND_UP,2023-05-02,599.3,599.3,586.34,625.25,2023-05-03,599.3,2023-05-08,624.94,166,99484,4,5,1.98,4.22,4256
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TIME,BULL,,NEAR_ABOVE_DEMAND_UP,2023-05-08,621.1,621.1,587.19,688.9,2023-05-09,621.41,2023-06-19,635.88,160,99426,30,41,0.42,0.95,2315
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TIME,BULL,,NEAR_ABOVE_DEMAND_UP,2023-08-17,622.3,622.3,587.5,691.9,2023-08-21,622.61,2023-10-03,642.98,160,99618,30,43,0.58,1.46,3259
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,TIME,BEAR,,NEAR_ABOVE_DEMAND_UP,2023-10-05,640.25,640.25,587.54,745.7,2023-10-06,640.57,2023-11-17,638.88,156,99929,30,42,-0.03,0.31,-264
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TARGET,BULL,,NEAR_ABOVE_DEMAND_UP,2023-11-22,650.8,650.8,587.74,776.9,2023-11-23,651.13,2023-12-01,776.51,153,99622,6,8,1.98,3.03,19184
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TIME,NEUTRAL,,FAR_ABOVE_DEMAND,2023-12-01,769.2,769.2,585.62,1136.35,2023-12-04,769.58,2024-01-15,814.89,129,99276,30,42,0.25,0.4,5845
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TIME,BULL,,NEAR_ABOVE_DEMAND_UP,2024-01-15,815.3,815.3,751.06,943.8,2024-01-16,815.71,2024-02-27,833.93,122,99516,30,42,0.28,1.54,2223
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,SL,BULL,,NEAR_ABOVE_DEMAND_UP,2024-03-04,847.95,847.95,824.11,895.6,2024-03-05,848.37,2024-03-13,823.69,117,99260,6,8,-1.02,1.93,-2888
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TIME,NEUTRAL,,FAR_ABOVE_DEMAND,2024-04-18,993.55,993.55,839.82,1301,2024-04-19,976.54,2024-05-31,1180.76,102,99607,30,42,1.49,2.2,20831
ARE&M,INE885A01032,auto,1d,ZOI,NO_FILL,,,,,2024-06-05,,,,,,,,,,,,,,,
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TIME,BULL,,FAR_ABOVE_DEMAND,2024-06-06,1277.5,1277.5,830.39,2171.75,2024-06-07,1278.14,2024-07-22,1530.13,78,99695,30,45,0.56,1.11,19656
ARE&M,INE885A01032,auto,1d,ZOI,NO_FILL,,,,,2024-07-25,,,,,,,,,,,,,,,
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,TIME,BULL,,FAR_ABOVE_DEMAND,2024-07-26,1680.45,1680.45,1226.59,2588.15,2024-07-29,1681.29,2024-09-09,1410.74,59,99196,30,42,-0.6,0.03,-15962
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,SL,BULL,,NEAR_ABOVE_DEMAND_UP,2024-09-23,1375.2,1375.2,1235.09,1655.4,2024-09-24,1375.89,2024-10-23,1234.48,72,99064,21,29,-1,0.48,-10181
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,TIME,NEUTRAL,,NEAR_ABOVE_DEMAND_UP,2024-10-29,1329.75,1329.75,1205.85,1577.55,2024-10-30,1330.41,2024-12-12,1295.7,75,99781,30,43,-0.28,0.74,-2603
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,SL,BEAR,,NEAR_ABOVE_DEMAND_UP,2025-02-19,970.9,970.9,840.54,1231.6,2025-02-20,970.48,2025-04-07,831.88,103,99960,30,46,-1.07,1.07,-14276
ARE&M,INE885A01032,auto,1d,ZOI,NO_FILL,,,,,2025-04-11,,,,,,,,,,,,,,,
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,SL,BEAR,,NEAR_ABOVE_DEMAND_UP,2025-04-15,994.6,994.6,919.87,1144.05,2025-04-16,995.1,2025-05-06,919.39,100,99510,13,20,-1.01,0.61,-7571
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TARGET,BULL,,INSIDE_DEMAND_UP,2025-05-08,963.2,963.2,921.88,1045.85,2025-05-09,940.47,2025-05-16,1045.33,106,99690,6,7,5.64,8.26,11115
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,TIME,BULL,,NEAR_ABOVE_DEMAND_UP,2025-05-20,1012.6,1012.6,922.33,1193.15,2025-05-21,1011.01,2025-07-01,960.72,98,99079,30,41,-0.57,0.94,-4928
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,SL,BULL,,NEAR_ABOVE_DEMAND_UP,2025-07-10,984.45,984.45,926.35,1100.65,2025-07-11,984.94,2025-08-07,925.89,101,99479,20,27,-1.01,0.82,-5965
ARE&M,INE885A01032,auto,1d,ZOI,WIN,TARGET,BEAR,,NEAR_ABOVE_DEMAND_UP,2025-08-13,957.95,957.95,912.9,1048.05,2025-08-14,958.43,2025-09-11,1047.53,104,99677,19,28,1.96,2.18,9266
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,TIME,BEAR,,NEAR_ABOVE_DEMAND_UP,2025-10-01,993.5,993.5,938.35,1103.8,2025-10-03,994,2025-11-17,964.62,100,99400,30,45,-0.53,0.52,-2938
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,SL,BULL,,INSIDE_DEMAND_UP,2025-12-01,950.45,950.45,940.2,970.95,2025-12-02,950.93,2025-12-04,939.73,105,99847,3,2,-1.04,0.37,-1176
ARE&M,INE885A01032,auto,1d,ZOI,LOSS,SL,BULL,,INSIDE_DEMAND_UP,2025-12-22,927.45,927.45,914.83,952.7,2025-12-23,927.91,2025-12-29,914.39,107,99287,4,6,-1.03,0.77,-1447
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,SL,BULL,IN_POCKET_UP,NEAR_BELOW_SUPPLY,2019-04-15,703.8,703.8,673.41,764.55,2019-04-16,704.15,2019-04-24,673.06,142,99990,5,8,-1.01,0.27,-4415
ARE&M,INE885A01032,auto,1d,FIB_ZOI,WIN,TARGET,BULL,IN_POCKET_UP,RECOVERY_ABOVE_DEMAND,2019-06-27,620.3,620.3,589.29,682.35,2019-06-28,619.31,2019-08-01,682.01,161,99709,25,34,2.09,2.34,10095
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,SL,BEAR,BELOW_UP,NEAR_ABOVE_DEMAND_UP,2019-08-26,619,619,588.05,680.9,2019-08-27,618.81,2019-08-29,587.76,161,99628,3,2,-1.01,0.35,-5000
ARE&M,INE885A01032,auto,1d,FIB_ZOI,WIN,TARGET,BEAR,RECOVERED_ABOVE,NEAR_ABOVE_DEMAND_UP,2019-09-04,622.7,622.7,580.09,707.9,2019-09-05,622.31,2019-09-23,707.55,160,99570,12,18,2.02,2.9,13638
ARE&M,INE885A01032,auto,1d,FIB_ZOI,WIN,TIME,BULL,NEAR_ABOVE,NEAR_ABOVE_DEMAND_UP,2019-10-22,675.9,675.9,616.58,794.55,2019-10-23,676.24,2019-12-04,744.13,147,99407,30,42,1.14,1.82,9980
ARE&M,INE885A01032,auto,1d,FIB_ZOI,LOSS,SL,BULL,IN_POCKET_UP,NEAR_BELOW_SUPPLY,2019-12-17,749.1,749.1,722.95,801.4,2019-12-18,747.22,2019-12-20,722.59,133,99381,3,2,-1.01,0.09,-3276
ARE&M,INE885A01032,auto,1d,FIB_ZOI,WIN,TARGET,BULL,IN_POCKET_UP,NEAR_BELOW_SUPPLY,2019-12-31,724.35,724.35,702.59,767.85,2020-01-01,724.71,2020-01-15,767.47,137,99286,11,14,1.93,4.03,5857
ARE&M,INE885A01032,auto,1d,FIB_ZOI,WIN,TIME,BULL,RECOVERED_ABOVE,FAR_ABOVE_DEMAND,2020-06-18,679.4,679.4,580.25,877.7,2020-06-19,679.74,2020-07-30,698.4,147,99922,30,41,0.19,0.43,2743
